GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_1016,190.1546625,367.7812704,118.8345635,351.0485433,373.2190894
PP_1017,153.8706956,315.5100728,98.56644399,302.7862029,305.8782934
PP_1018,246.5986554,449.9787125,164.2591668,570.1459924,461.882103
PP_1019,400.7511685,701.7192886,236.0131038,954.395115,706.3110821
PP_1022,1640.519368,1172.561713,1664.691918,926.0631155,843.3960287
PP_1023,212.6025697,185.6525325,187.4251747,121.4423225,128.1739591
PP_1024,278.9192632,264.4795842,195.8070214,188.565328,177.7522265
PP_1025,361.5772583,418.8072002,405.1077376,377.9941853,411.22465
PP_1031,773.8065605,741.3728295,753.6237803,575.5754301,728.0725949
PP_1032,568.8468318,468.6076543,521.6723103,386.7510901,411.9481238
PP_1037,1179.047185,1068.906823,1196.982671,963.305843,1070.219786
PP_1059,634.3124002,479.1375041,490.4168171,397.0685895,439.1458517
PP_1068,177.7203175,238.873779,120.8280327,202.9580465,261.0441724
PP_1069,101.1613325,153.8487425,85.07095825,134.8957426,179.8106469
PP_1070,96.11990669,153.490247,85.79389197,129.7234903,162.6705688
PP_1071,593.1723487,950.1930304,469.6680267,924.2938814,998.1527075
PP_1073,1568.498435,1338.419077,1650.565997,831.3154097,463.4975772
PP_1075,741.345578,697.2607324,822.6389863,465.2056322,230.8491884
PP_1076,425.7203248,401.748698,477.8378612,234.8229518,174.1816558
PP_1078,162.8973678,142.0783285,165.1599591,130.687209,153.6254909
PP_1079,156.5693944,131.028338,185.4641049,137.8326769,162.2593202
PP_1086,135.8988124,130.9349692,107.1215314,121.6778195,129.0705122
PP_1088,628.2271326,531.9319934,567.2876404,558.1925529,531.5138763
PP_1097,671.5997393,646.9787029,719.6929062,556.1552614,665.4724953
PP_1100,237.1742141,262.8027887,233.6978674,216.2315835,253.0526418
PP_1129,160.2778818,201.6937795,114.6093727,180.7314351,202.7335039
PP_1137,176.5267874,176.9092498,190.3762032,275.4433318,189.349272
PP_1138,141.4909654,154.0747043,155.3322969,234.5363095,162.8707051
PP_1139,233.1842375,257.6090911,216.3900176,361.1916657,269.0502429
PP_1140,178.4643498,229.3388702,197.1026302,265.9481109,241.8969716
PP_1141,1042.196313,1123.065445,1061.023562,1305.211394,1090.443396
